online_order,book_table,rate,location,rest_type,cuisines,type,cost_per_person
No,No,2.9,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",Delivery,350.0
No,No,3.6,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",Delivery,150.0
No,No,3.700448817952718,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",Delivery,250.0
Yes,No,4.1,Basavanagudi,Quick Bites,South Indian,Delivery,75.0
Yes,No,3.6,Banashankari,Quick Bites,"Biryani, South Indian",Delivery,150.0
No,No,3.7,Banashankari,Quick Bites,Fast Food,Delivery,250.0
No,No,3.8,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",Delivery,175.0
Yes,No,3.8,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",Delivery,250.0
Yes,No,4.2,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",Delivery,200.0
No,No,3.5,Banashankari,Sweet Shop,"Mithai, Street Food",Delivery,100.0
No,No,3.8,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,350.0
No,No,3.700448817952718,Banashankari,Quick Bites,"South Indian, Chinese",Delivery,50.0
No,No,4.0,Banashankari,Bakery,"Bakery, Desserts",Delivery,150.0
Yes,No,4.4,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",Delivery,300.0
No,No,3.5,Banashankari,Quick Bites,North Indian,Delivery,100.0
No,No,3.5,Banashankari,Dessert Parlor,Desserts,Delivery,250.0
No,No,3.7,Banashankari,Quick Bites,Biryani,Delivery,125.0
No,No,3.700448817952718,Banashankari,Delivery,"Bakery, Desserts",Delivery,250.0
No,No,3.700448817952718,Banashankari,"Takeaway, Delivery",South Indian,Delivery,200.0
No,No,3.700448817952718,Banashankari,Mess,South Indian,Delivery,100.0
No,No,3.2,Banashankari,Dessert Parlor,Ice Cream,Delivery,150.0
No,No,2.6,Banashankari,Casual Dining,North Indian,Delivery,300.0
No,No,3.3,Banashankari,Bar,"South Indian, North Indian, Chinese",Delivery,400.0
No,No,3.8,Banashankari,Quick Bites,"Fast Food, Bakery",Delivery,125.0
No,No,3.7,Banashankari,Casual Dining,"North Indian, Iranian",Delivery,475.0
No,No,3.7,Banashankari,Quick Bites,"Fast Food, Street Food",Delivery,150.0
Yes,No,3.8,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",Delivery,200.0
No,No,3.5,Banashankari,Quick Bites,South Indian,Delivery,150.0
No,No,3.7,Banashankari,Quick Bites,South Indian,Delivery,100.0
No,No,3.5,Banashankari,Quick Bites,"South Indian, Biryani",Delivery,150.0
No,No,3.8,Banashankari,"Takeaway, Delivery",Bakery,Delivery,200.0
No,No,3.2,Banashankari,Cafe,"Cafe, Bakery",Delivery,300.0
No,No,3.5,Banashankari,Bakery,"Bakery, Desserts",Delivery,150.0
No,No,3.4,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",Delivery,150.0
No,No,3.700448817952718,Banashankari,"Takeaway, Delivery",Beverages,Delivery,125.0
No,No,3.2,Banashankari,Quick Bites,Biryani,Delivery,150.0
No,No,3.2,Banashankari,Quick Bites,North Indian,Delivery,150.0
No,No,3.700448817952718,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",Delivery,100.0
No,No,3.1,Banashankari,Quick Bites,North Indian,Delivery,75.0
No,No,3.4,Banashankari,Bakery,"Bakery, Desserts",Delivery,200.0
No,No,3.700448817952718,Banashankari,Dessert Parlor,Mithai,Delivery,75.0
No,No,3.700448817952718,Banashankari,Bakery,Bakery,Delivery,150.0
No,No,3.700448817952718,Banashankari,Quick Bites,"North Indian, Street Food",Delivery,100.0
No,No,3.700448817952718,Banashankari,"Takeaway, Delivery",South Indian,Delivery,75.0
No,No,3.700448817952718,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",Delivery,75.0
No,No,3.700448817952718,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",Delivery,125.0
No,No,3.1,Banashankari,Bar,"Chinese, North Indian",Delivery,500.0
Yes,No,4.1,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Delivery,150.0
No,No,3.3,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",Delivery,100.0
No,No,3.1,Banashankari,Quick Bites,"Fast Food, South Indian",Delivery,50.0
No,No,3.3,Banashankari,Quick Bites,"Street Food, Fast Food",Delivery,100.0
No,No,2.9,Banashankari,Dessert Parlor,"Ice Cream, Desserts",Delivery,100.0
No,No,3.700448817952718,Banashankari,Delivery,"South Indian, North Indian, Continental",Delivery,200.0
No,No,3.700448817952718,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",Delivery,175.0
No,No,3.3,Banashankari,Delivery,South Indian,Delivery,50.0
No,No,3.700448817952718,Banashankari,Quick Bites,"Rolls, North Indian",Delivery,75.0
No,No,3.700448817952718,Banashankari,Quick Bites,South Indian,Delivery,75.0
No,No,3.700448817952718,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",Delivery,100.0
No,No,3.700448817952718,Banashankari,Quick Bites,North Indian,Delivery,50.0
No,No,3.700448817952718,Banashankari,Quick Bites,"Biryani, Fast Food",Delivery,200.0
No,No,3.700448817952718,Banashankari,Beverage Shop,"Beverages, Juices",Delivery,100.0
No,No,3.700448817952718,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",Delivery,75.0
No,No,3.700448817952718,Banashankari,"Takeaway, Delivery",South Indian,Delivery,200.0
No,No,3.700448817952718,Banashankari,Quick Bites,"South Indian, Chinese",Delivery,75.0
No,No,3.700448817952718,Banashankari,Quick Bites,Andhra,Delivery,125.0
No,No,3.700448817952718,Banashankari,Quick Bites,Biryani,Delivery,125.0
No,No,3.700448817952718,Banashankari,Quick Bites,"South Indian, Biryani",Delivery,75.0
No,No,3.700448817952718,Banashankari,Confectionery,Desserts,Delivery,100.0
No,No,3.700448817952718,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",Delivery,175.0
No,No,3.700448817952718,Banashankari,Quick Bites,"South Indian, Biryani",Delivery,150.0
No,No,3.700448817952718,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",Delivery,50.0
No,No,3.700448817952718,Banashankari,Quick Bites,"South Indian, Beverages",Delivery,75.0
Yes,No,4.0,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",Delivery,225.0
No,No,3.0,Banashankari,Bar,"North Indian, Chinese",Delivery,400.0
Yes,No,3.9,Basavanagudi,Quick Bites,South Indian,Delivery,100.0
Yes,Yes,4.1,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",Delivery,250.0
Yes,No,3.8,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",Delivery,150.0
Yes,No,3.8,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",Delivery,325.0
Yes,No,3.8,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",Delivery,200.0
Yes,No,4.1,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",Delivery,250.0
Yes,No,3.8,Banashankari,Quick Bites,"Burger, Fast Food",Delivery,225.0
No,No,3.700448817952718,Banashankari,Quick Bites,Fast Food,Delivery,50.0
Yes,No,4.1,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",Delivery,250.0
Yes,No,3.7,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",Delivery,375.0
Yes,No,3.9,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",Delivery,75.0
Yes,No,3.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,125.0
Yes,No,3.7,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",Delivery,175.0
Yes,No,3.3,Basavanagudi,"Takeaway, Delivery",Biryani,Delivery,150.0
Yes,No,3.3,Banashankari,Quick Bites,Biryani,Delivery,150.0
Yes,No,3.6,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",Delivery,400.0
Yes,No,3.3,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",Delivery,150.0
Yes,No,4.6,Jayanagar,Cafe,"Cafe, Beverages",Delivery,200.0
Yes,No,4.1,Basavanagudi,Quick Bites,"South Indian, Chinese",Delivery,75.0
Yes,Yes,4.1,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",Delivery,600.0
Yes,No,3.7,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",Delivery,75.0
Yes,No,3.2,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",Delivery,150.0
Yes,No,4.0,Banashankari,Sweet Shop,"Mithai, Street Food",Delivery,200.0
Yes,No,3.7,Banashankari,"Takeaway, Delivery","Italian, Pizza",Delivery,200.0
Yes,No,3.5,Banashankari,Quick Bites,Biryani,Delivery,100.0
Yes,No,3.8,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",Delivery,125.0
Yes,No,3.8,Basavanagudi,Bakery,Bakery,Delivery,200.0
Yes,No,4.2,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",Delivery,250.0
Yes,No,3.6,Banashankari,Quick Bites,South Indian,Delivery,75.0
Yes,No,3.0,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",Delivery,225.0
Yes,No,4.1,Basavanagudi,Quick Bites,Street Food,Delivery,100.0
Yes,No,3.8,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",Delivery,125.0
Yes,No,3.1,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",Delivery,350.0
Yes,Yes,3.9,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",Delivery,325.0
Yes,No,4.5,Jayanagar,Beverage Shop,"Beverages, Sandwich",Delivery,150.0
Yes,No,4.1,Kumaraswamy Layout,Casual Dining,Italian,Delivery,350.0
Yes,No,3.6,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",Delivery,250.0
Yes,No,3.5,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",Delivery,175.0
Yes,No,3.9,Banashankari,Dessert Parlor,Ice Cream,Delivery,75.0
Yes,No,3.9,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",Delivery,200.0
Yes,No,3.9,Basavanagudi,Quick Bites,South Indian,Delivery,50.0
Yes,No,4.3,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",Delivery,100.0
Yes,No,3.8,Kumaraswamy Layout,Quick Bites,South Indian,Delivery,75.0
Yes,No,3.9,Kumaraswamy Layout,Quick Bites,Arabian,Delivery,150.0
Yes,No,4.2,Banashankari,Quick Bites,North Indian,Delivery,175.0
Yes,No,3.6,Basavanagudi,Quick Bites,South Indian,Delivery,50.0
Yes,No,4.1,Banashankari,Cafe,Cafe,Delivery,250.0
Yes,No,3.8,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",Delivery,375.0
Yes,No,3.3,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",Delivery,275.0
Yes,No,3.9,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Delivery,100.0
Yes,No,3.4,Banashankari,Quick Bites,South Indian,Delivery,150.0
Yes,No,3.9,Banashankari,Quick Bites,South Indian,Delivery,100.0
Yes,No,3.0,Banashankari,Cafe,"Cafe, French, North Indian",Delivery,200.0
Yes,No,3.8,Banashankari,Casual Dining,"Pizza, Fast Food",Delivery,375.0
Yes,No,3.8,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",Delivery,325.0
Yes,No,3.6,Basavanagudi,Dessert Parlor,Fast Food,Delivery,125.0
Yes,No,4.1,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",Delivery,250.0
Yes,No,4.2,Basavanagudi,Quick Bites,"Street Food, Fast Food",Delivery,125.0
Yes,No,3.5,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",Delivery,75.0
Yes,No,2.5,Banashankari,Casual Dining,North Indian,Delivery,250.0
Yes,Yes,4.1,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",Delivery,750.0
Yes,No,4.1,Jayanagar,Quick Bites,"Chinese, Fast Food",Delivery,150.0
Yes,No,3.9,Banashankari,Casual Dining,"North Indian, Chinese, Continental",Delivery,400.0
Yes,No,3.6,Uttarahalli,Casual Dining,"North Indian, Chinese",Delivery,350.0
Yes,No,3.6,Banashankari,Casual Dining,Vietnamese,Delivery,350.0
Yes,No,4.2,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",Delivery,275.0
Yes,No,3.2,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",Delivery,100.0
Yes,No,3.1,Kumaraswamy Layout,Quick Bites,North Indian,Delivery,150.0
Yes,No,3.1,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",Delivery,250.0
Yes,No,3.700448817952718,Basavanagudi,Quick Bites,"North Indian, Chinese",Delivery,150.0
Yes,Yes,4.3,Jayanagar,Casual Dining,"Italian, Salad",Delivery,650.0
Yes,No,3.9,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,175.0
Yes,No,4.3,Banashankari,Dessert Parlor,"Desserts, Ice Cream",Delivery,250.0
Yes,No,3.8,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",Delivery,350.0
Yes,Yes,3.9,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",Delivery,500.0
Yes,No,3.0,Jayanagar,Quick Bites,Andhra,Delivery,200.0
Yes,No,3.6,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",Delivery,375.0
Yes,Yes,2.8,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",Delivery,250.0
Yes,No,3.6,JP Nagar,Casual Dining,South Indian,Delivery,200.0
Yes,No,4.4,Jayanagar,Beverage Shop,"Beverages, Tea",Delivery,125.0
Yes,No,3.8,Jayanagar,Quick Bites,"North Indian, Street Food",Delivery,100.0
Yes,No,3.8,Basavanagudi,Quick Bites,"Pizza, Italian",Delivery,300.0
Yes,No,3.6,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",Delivery,325.0
No,No,3.8,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",Delivery,275.0
No,No,3.9,Basavanagudi,Quick Bites,"South Indian, Mangalorean",Delivery,225.0
No,No,3.700448817952718,Basavanagudi,Bakery,"Bakery, Desserts",Delivery,150.0
No,No,3.700448817952718,JP Nagar,Dessert Parlor,Ice Cream,Delivery,100.0
No,No,3.6,Mysore Road,Quick Bites,South Indian,Delivery,150.0
No,No,3.7,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",Delivery,225.0
No,No,3.6,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",Delivery,225.0
No,No,3.8,Basavanagudi,Quick Bites,"Fast Food, Street Food",Delivery,75.0
No,No,3.4,Basavanagudi,Dessert Parlor,Desserts,Delivery,125.0
No,No,3.6,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",Delivery,400.0
No,No,3.3,Jayanagar,Quick Bites,South Indian,Delivery,125.0
No,No,3.5,Basavanagudi,"Bakery, Quick Bites",Bakery,Delivery,200.0
No,No,3.700448817952718,Basavanagudi,Quick Bites,South Indian,Delivery,50.0
No,No,3.700448817952718,Uttarahalli,Quick Bites,"North Indian, Chinese",Delivery,150.0
No,No,3.700448817952718,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",Delivery,100.0
Yes,No,3.4,Uttarahalli,Quick Bites,Street Food,Delivery,100.0
No,No,3.700448817952718,Vijay Nagar,Quick Bites,"North Indian, Chinese, Biryani",Delivery,175.0
Yes,No,3.7,Mysore Road,Quick Bites,"South Indian, North Indian",Delivery,150.0
Yes,No,2.9,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",Delivery,350.0
Yes,No,3.7,Basavanagudi,Sweet Shop,"Mithai, Desserts",Delivery,125.0
Yes,No,3.5,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",Delivery,50.0
Yes,No,3.7,Banashankari,Quick Bites,"Salad, Fast Food",Delivery,300.0
Yes,No,2.9,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,125.0
Yes,No,4.1,Jayanagar,Quick Bites,"Juices, Desserts",Delivery,100.0
Yes,No,3.2,Jayanagar,Cafe,"Cafe, Fast Food",Delivery,450.0
Yes,No,3.8,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",Delivery,200.0
Yes,No,3.8,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",Delivery,150.0
Yes,No,3.8,Basavanagudi,Casual Dining,North Indian,Delivery,300.0
Yes,No,3.8,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,350.0
Yes,No,3.8,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,375.0
Yes,No,3.5,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",Delivery,250.0
Yes,No,3.7,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",Delivery,175.0
Yes,No,4.0,Jayanagar,Quick Bites,"South Indian, Beverages",Delivery,100.0
Yes,No,3.6,Banashankari,Quick Bites,"Fast Food, Rolls",Delivery,125.0
Yes,No,3.9,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",Delivery,300.0
Yes,No,2.5,Basavanagudi,Quick Bites,Fast Food,Delivery,100.0
Yes,No,3.4,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",Delivery,125.0
Yes,No,3.2,Basavanagudi,Quick Bites,"Beverages, Fast Food",Delivery,75.0
Yes,No,3.6,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",Delivery,300.0
Yes,No,3.9,Jayanagar,Dessert Parlor,Desserts,Delivery,150.0
Yes,No,3.8,Jayanagar,Sweet Shop,"Desserts, Mithai",Delivery,125.0
Yes,No,4.1,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",Delivery,275.0
Yes,No,3.2,Vijay Nagar,Quick Bites,Fast Food,Delivery,150.0
Yes,No,3.6,Banashankari,Bakery,"Bakery, Desserts",Delivery,175.0
Yes,No,3.7,Banashankari,Quick Bites,"South Indian, Fast Food",Delivery,100.0
Yes,No,3.9,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",Delivery,325.0
Yes,No,3.700448817952718,Jayanagar,Quick Bites,"South Indian, Chinese",Delivery,150.0
Yes,No,3.9,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",Delivery,250.0
Yes,Yes,4.1,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai",Delivery,600.0
Yes,No,3.8,Banashankari,Cafe,Cafe,Delivery,325.0
Yes,No,3.1,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",Delivery,125.0
Yes,No,3.7,Uttarahalli,Casual Dining,"South Indian, North Indian",Delivery,200.0
Yes,No,4.2,Banashankari,Delivery,Pizza,Delivery,300.0
Yes,No,4.0,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",Delivery,125.0
Yes,No,4.3,Basavanagudi,Quick Bites,South Indian,Delivery,50.0
Yes,No,3.7,Jayanagar,Casual Dining,"Chinese, Thai, Momos",Delivery,425.0
Yes,No,3.1,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",Delivery,200.0
Yes,No,3.9,Basavanagudi,Quick Bites,"South Indian, Healthy Food",Delivery,100.0
Yes,No,3.3,Basavanagudi,Quick Bites,"Street Food, Fast Food",Delivery,50.0
Yes,No,3.700448817952718,Basavanagudi,Dessert Parlor,Beverages,Delivery,50.0
Yes,No,4.3,Jayanagar,Casual Dining,South Indian,Delivery,200.0
Yes,No,2.6,Jayanagar,Cafe,"Cafe, American, Pizza",Delivery,225.0
Yes,No,3.9,Basavanagudi,Quick Bites,"South Indian, Fast Food",Delivery,150.0
Yes,No,3.7,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",Delivery,250.0
Yes,No,4.2,Basavanagudi,Quick Bites,South Indian,Delivery,50.0
Yes,No,3.9,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",Delivery,200.0
Yes,No,3.8,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",Delivery,450.0
Yes,No,4.2,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Delivery,100.0
Yes,No,3.9,Jayanagar,Casual Dining,"North Indian, Chinese, Rolls",Delivery,275.0
Yes,No,4.1,Banashankari,Casual Dining,"Chinese, North Indian, Thai",Delivery,400.0
