,rate
173,3.8
174,4.2
175,3.6
176,3.0
177,4.1
178,3.8
179,3.1
180,3.9
181,4.5
182,4.1
183,3.6
184,3.5
185,3.9
186,3.9
187,3.9
188,4.3
189,3.8
190,3.9
191,4.2
192,3.6
193,4.1
194,3.8
195,3.3
196,3.9
197,3.4
198,3.9
199,3.0
200,3.8
201,3.8
202,3.6
203,4.1
204,4.2
205,3.5
206,2.5
207,4.1
208,4.1
209,3.9
210,3.6
211,3.6
212,4.2
213,3.2
214,3.1
215,3.1
216,3.700448817952718
217,4.3
218,3.9
219,4.3
220,3.8
221,3.9
222,3.0
223,3.6
224,2.8
225,3.6
226,4.4
227,3.8
228,3.8
229,3.6
230,3.8
231,3.9
232,3.700448817952718
233,3.700448817952718
234,3.6
235,3.7
236,3.6
237,3.8
238,3.4
239,3.6
240,3.3
241,3.5
242,3.700448817952718
243,3.700448817952718
244,3.700448817952718
245,3.4
246,3.700448817952718
247,3.7
248,2.9
249,3.7
250,3.5
251,3.7
252,2.9
253,4.1
254,3.2
255,3.8
256,3.8
257,3.8
258,3.8
259,3.8
260,3.5
261,3.7
262,4.0
263,3.6
264,3.9
265,2.5
266,3.4
267,3.2
268,3.6
269,3.9
270,3.8
271,4.1
272,3.2
273,3.6
274,3.7
275,3.9
276,3.700448817952718
277,3.9
278,4.1
279,3.8
280,3.1
281,3.7
282,4.2
283,4.0
284,4.3
285,3.7
286,3.1
287,3.9
288,3.3
289,3.700448817952718
290,4.3
291,2.6
292,3.9
293,3.7
294,4.2
295,3.9
296,3.8
297,4.2
298,3.9
299,4.1
300,3.6
301,3.6
302,3.6
303,4.0
304,3.7
305,4.1
306,3.700448817952718
307,4.0
308,2.6
309,3.4
310,3.9
311,2.8
312,3.9
313,3.8
314,4.0
315,4.2
316,4.0
317,3.5
318,3.0
319,3.7
320,3.6
321,3.1
322,3.9
323,3.9
324,3.6
325,3.4
326,3.8
327,3.6
328,3.8
329,3.5
330,3.8
331,3.2
332,3.7
333,3.8
334,4.1
335,4.1
336,3.8
337,3.4
338,3.7
339,4.0
340,3.1
341,3.5
342,3.8
343,3.7
344,3.0
345,3.8
346,3.7
347,3.6
348,3.2
349,3.7
350,3.4
351,3.6
352,3.6
353,3.0
354,3.7
355,3.5
356,3.6
357,4.1
358,3.5
359,3.7
360,3.7
361,3.8
362,2.7
363,3.6
364,3.2
365,3.8
366,3.7
367,3.700448817952718
368,3.6
369,3.1
370,3.0
371,3.4
372,3.0
373,2.9
374,3.9
375,4.1
376,3.5
377,3.4
378,3.6
379,3.5
380,3.8
381,3.8
382,3.7
383,3.8
384,3.7
385,3.3
386,3.4
387,3.5
388,3.3
389,3.4
390,3.8
391,3.7
392,2.9
393,3.4
394,3.6
395,4.0
396,3.9
397,4.1
398,3.7
399,3.9
400,3.9
401,4.0
402,3.6
403,3.7
404,4.0
405,3.2
406,3.5
407,4.0
408,3.9
409,3.5
410,3.5
411,3.8
412,3.7
413,3.8
414,4.1
415,4.1
416,3.7
417,3.0
418,3.2
419,3.8
420,4.0
421,3.7
422,3.1
423,3.0
424,3.7
425,3.7
426,3.700448817952718
427,3.3
428,3.3
429,3.8
430,3.4
431,3.5
432,3.700448817952718
433,3.5
434,3.2
435,3.1
436,3.700448817952718
437,3.6
438,3.700448817952718
439,3.4
440,3.700448817952718
441,3.9
442,3.7
443,2.8
444,3.3
445,3.5
446,3.4
447,3.700448817952718
448,3.6
449,3.700448817952718
450,3.700448817952718
451,3.3
452,3.4
453,3.700448817952718
454,4.1
455,4.2
456,3.700448817952718
457,3.700448817952718
458,4.2
459,4.0
460,3.9
461,3.700448817952718
462,3.5
463,4.2
464,3.4
465,4.2
466,3.3
467,3.8
468,3.7
469,4.1
470,3.700448817952718
471,3.9
472,3.8
473,4.0
474,4.1
475,3.3
476,3.6
477,3.4
478,4.3
479,3.8
480,4.2
481,4.0
482,4.1
483,3.700448817952718
484,3.8
485,3.9
486,3.1
487,3.9
488,4.2
489,3.700448817952718
490,3.2
491,3.8
492,4.3
493,4.4
494,3.7
495,3.9
496,3.7
497,3.8
498,4.0
499,3.8
500,3.9
501,3.8
502,3.7
503,3.9
504,3.8
505,3.8
506,4.3
507,3.5
508,4.0
509,3.2
510,3.7
511,3.5
512,3.2
513,3.6
514,3.8
515,3.6
516,3.8
517,3.2
518,3.5
519,3.4
520,3.4
521,3.700448817952718
522,3.700448817952718
523,2.9
524,3.700448817952718
525,3.2
526,3.700448817952718
527,3.700448817952718
528,3.700448817952718
529,3.700448817952718
530,3.9
531,3.9
532,3.700448817952718
533,4.0
534,3.7
535,4.0
536,4.0
537,3.6
538,3.6
539,3.8
540,3.6
541,3.700448817952718
542,3.3
543,3.3
544,4.0
545,2.7
546,3.700448817952718
547,3.7
548,3.5
549,3.700448817952718
550,3.6
551,3.700448817952718
552,3.9
553,4.0
554,4.2
555,4.6
556,4.2
557,4.1
558,4.2
559,3.8
560,4.1
561,4.0
562,4.1
563,4.2
564,4.1
565,4.2
566,4.2
567,4.2
568,4.0
569,4.2
570,4.0
571,4.0
572,3.9
573,3.700448817952718
574,3.9
575,3.8
576,3.8
577,3.9
578,3.6
579,3.7
580,3.7
581,3.9
582,3.8
583,3.9
584,3.8
585,2.5
586,3.1
587,3.7
588,3.0
589,3.8
590,3.5
591,3.8
592,3.1
593,3.6
594,3.700448817952718
595,3.3
596,3.700448817952718
597,3.6
598,3.700448817952718
599,2.6
600,3.6
601,3.4
602,3.7
603,3.8
604,3.5
605,3.8
606,3.4
607,3.1
608,3.5
609,3.6
610,3.7
611,3.700448817952718
612,3.2
613,3.0
614,3.5
615,3.5
616,2.7
617,3.700448817952718
618,2.8
619,3.2
620,3.4
621,3.700448817952718
622,3.3
623,3.700448817952718
624,3.700448817952718
625,3.700448817952718
626,3.700448817952718
627,3.5
628,3.7
629,3.9
630,4.7
631,3.700448817952718
632,4.3
633,3.7
634,4.0
635,3.8
636,3.6
637,3.9
638,3.8
639,3.700448817952718
640,3.9
641,4.4
642,3.6
643,3.4
644,3.8
645,3.8
646,3.6
647,3.8
648,3.8
649,3.5
650,3.8
651,3.8
652,3.7
653,3.3
654,4.1
655,2.8
656,4.1
657,3.700448817952718
658,3.8
659,3.7
660,3.6
661,3.7
662,3.8
663,4.2
664,3.9
665,3.5
666,3.4
667,3.6
668,3.4
669,3.9
670,3.8
671,3.7
672,3.6
673,3.7
674,3.8
675,3.9
676,3.6
677,3.6
678,3.700448817952718
679,3.5
680,3.4
681,3.5
682,3.8
683,3.0
684,3.5
685,3.700448817952718
686,4.0
687,3.700448817952718
688,3.0
689,3.4
690,3.5
691,3.5
692,4.2
693,3.3
694,4.1
695,3.8
696,3.7
697,3.4
698,3.3
699,3.5
700,2.7
701,3.0
702,3.7
703,3.7
704,2.8
705,3.3
706,3.5
707,3.9
708,3.4
709,3.5
710,3.4
711,3.4
712,3.700448817952718
713,3.2
714,3.6
715,3.1
716,3.700448817952718
717,3.700448817952718
718,3.700448817952718
719,3.700448817952718
720,3.700448817952718
721,3.700448817952718
722,3.8
723,3.1
724,3.2
725,3.3
726,3.2
727,3.1
728,3.3
729,3.0
730,3.1
731,3.3
732,3.700448817952718
733,3.700448817952718
734,3.700448817952718
735,3.700448817952718
736,3.700448817952718
737,3.7
738,3.6
739,3.0
740,3.700448817952718
741,3.700448817952718
742,3.700448817952718
743,3.700448817952718
744,3.700448817952718
745,3.700448817952718
746,3.700448817952718
747,3.700448817952718
748,3.700448817952718
749,3.700448817952718
750,3.700448817952718
751,3.700448817952718
752,3.700448817952718
753,3.700448817952718
754,3.700448817952718
755,3.4
756,3.4
757,3.6
758,4.0
759,3.700448817952718
760,3.0
761,2.9
762,3.8
763,4.2
764,3.9
765,3.8
766,4.4
767,3.9
768,3.8
769,4.1
770,3.8
771,3.8
772,3.9
773,4.1
774,3.8
775,3.8
776,2.7
777,3.9
778,3.3
779,3.9
780,4.2
781,3.9
782,4.0
783,4.2
784,3.4
785,3.7
786,3.8
787,3.9
788,3.7
789,3.9
790,4.1
791,3.8
792,3.9
793,3.5
794,4.1
795,3.7
796,3.8
797,4.3
798,4.2
799,4.1
800,3.7
801,4.0
802,3.6
803,3.8
804,3.9
805,3.6
806,3.4
807,3.700448817952718
808,3.9
809,4.0
810,3.7
811,2.9
812,3.3
813,3.6
814,3.9
815,3.8
816,3.8
817,4.0
818,3.6
819,3.8
820,3.6
821,3.3
822,3.2
823,3.6
824,3.8
825,3.7
826,3.700448817952718
827,3.8
828,3.700448817952718
829,3.700448817952718
830,3.7
831,3.7
832,3.3
833,3.2
834,3.700448817952718
835,3.9
836,3.7
837,3.2
838,3.700448817952718
839,3.6
840,3.700448817952718
841,3.2
842,3.700448817952718
843,3.700448817952718
844,3.700448817952718
845,3.700448817952718
846,3.700448817952718
847,3.700448817952718
848,3.2
849,3.6
850,3.700448817952718
851,3.700448817952718
852,3.8
853,4.1
854,3.7
855,3.3
856,3.1
857,3.700448817952718
858,3.0
859,2.7
860,4.4
861,4.2
862,4.3
863,3.3
864,3.1
865,4.7
866,4.3
867,4.1
868,4.1
869,3.9
870,3.8
871,4.0
872,3.700448817952718
873,4.0
874,3.3
875,2.7
876,3.0
877,3.8
878,4.0
879,3.9
880,3.700448817952718
881,3.7
882,3.7
883,3.9
884,3.9
885,3.9
886,3.6
887,3.8
888,3.9
889,3.6
890,3.9
891,3.6
892,2.7
893,3.6
894,3.700448817952718
895,3.3
896,3.7
897,3.700448817952718
898,3.700448817952718
899,4.1
900,4.0
901,3.700448817952718
902,3.9
903,3.700448817952718
904,4.1
905,4.1
906,4.4
907,3.7
908,3.7
909,3.7
910,3.6
911,2.6
912,3.4
913,3.4
914,3.700448817952718
915,3.700448817952718
916,3.7
917,2.7
918,3.2
919,4.5
920,3.7
921,3.8
922,3.6
923,3.8
924,4.1
925,4.0
926,3.4
927,3.6
928,3.7
929,2.9
930,4.5
931,4.1
932,3.9
933,3.6
934,4.1
935,3.8
936,3.3
937,4.0
938,4.1
939,4.0
940,4.1
941,3.9
942,4.0
943,3.6
944,2.9
945,3.1
946,4.0
947,3.9
948,3.9
949,3.9
950,3.3
951,4.1
952,3.3
953,3.6
954,3.9
955,3.9
956,3.700448817952718
957,3.700448817952718
958,4.4
959,2.6
960,3.9
961,3.4
962,4.2
963,3.7
964,4.0
965,3.3
966,3.9
967,3.4
968,3.8
969,3.6
970,3.2
971,3.6
972,2.7
973,3.4
974,3.6
975,3.5
976,3.9
977,3.7
978,4.1
979,3.5
980,3.1
981,3.2
982,3.9
983,3.7
984,3.700448817952718
985,3.6
986,2.9
987,3.4
988,4.0
989,3.4
990,3.8
991,4.0
992,4.0
993,3.9
994,4.0
995,3.7
996,4.2
997,3.3
998,3.4
999,3.7
1000,3.6
1001,2.9
1002,3.5
1003,3.8
1004,4.0
1005,4.0
1006,3.9
1007,3.700448817952718
1008,3.5
1009,3.9
1010,3.8
1011,4.4
1012,3.8
1013,3.2
1014,4.0
1015,3.5
1016,3.6
1017,3.5
1018,3.0
1019,3.9
1020,3.7
1021,4.2
1022,3.9
1023,3.3
1024,4.1
1025,3.6
1026,3.2
1027,3.9
1028,3.7
1029,3.7
1030,3.6
1031,4.6
1032,3.9
1033,3.9
1034,3.2
1035,3.3
1036,3.9
1037,3.9
1038,3.6
1039,3.5
1040,3.5
1041,3.9
1042,4.1
1043,3.8
1044,3.7
1045,3.9
1046,3.9
1047,4.0
1048,4.1
1049,3.7
1050,3.2
1051,4.1
1052,3.8
1053,3.7
1054,3.9
1055,3.0
1056,4.0
1057,3.9
1058,3.9
1059,3.9
1060,4.1
1061,3.9
1062,4.1
1063,2.5
1064,3.9
1065,4.2
1066,3.7
1067,3.8
1068,4.0
1069,3.4
1070,3.8
1071,3.1
1072,3.8
1073,3.1
1074,4.0
1075,3.4
1076,3.6
1077,3.5
1078,3.9
1079,4.2
1080,3.1
1081,3.7
1082,3.7
1083,3.1
1084,3.8
1085,4.1
1086,3.4
1087,3.1
1088,3.5
1089,3.7
1090,3.7
1091,4.0
1092,4.2
1093,3.700448817952718
1094,3.9
1095,3.9
1096,3.7
1097,3.6
1098,3.6
1099,3.700448817952718
1100,4.0
1101,3.0
1102,3.2
1103,4.0
1104,3.2
1105,4.0
1106,3.7
1107,3.1
1108,3.700448817952718
1109,3.7
1110,3.9
1111,3.7
1112,3.4
1113,3.700448817952718
1114,3.8
1115,4.0
1116,3.0
1117,3.8
1118,3.7
1119,3.6
1120,4.0
1121,3.7
1122,3.8
1123,3.9
1124,2.6
1125,3.700448817952718
1126,3.4
1127,3.7
1128,3.8
1129,3.6
1130,3.700448817952718
1131,4.2
1132,3.6
1133,3.1
1134,3.1
1135,4.0
1136,4.1
1137,3.3
1138,3.5
1139,4.4
1140,4.0
1141,4.2
1142,3.7
1143,3.700448817952718
1144,3.8
1145,3.5
1146,3.7
1147,4.4
1148,4.0
1149,2.9
1150,4.0
1151,3.9
1152,4.0
1153,3.6
1154,3.9
1155,3.9
1156,4.2
1157,3.700448817952718
1158,4.1
1159,3.5
1160,2.9
1161,3.5
1162,3.9
1163,3.0
1164,3.9
1165,3.8
1166,3.2
1167,4.0
1168,3.0
1169,3.5
1170,3.5
1171,3.4
1172,3.700448817952718
1173,4.3
1174,3.700448817952718
1175,3.9
1176,3.5
1177,3.8
1178,4.1
1179,3.700448817952718
1180,3.700448817952718
1181,3.6
1182,3.7
1183,4.2
1184,3.9
1185,3.6
1186,3.9
1187,3.1
1188,3.7
1189,4.1
1190,3.1
1191,3.8
1192,3.8
1193,3.2
1194,3.6
1195,3.700448817952718
1196,3.2
1197,3.8
1198,3.700448817952718
1199,3.9
1200,4.2
1201,3.7
1202,3.9
1203,3.1
1204,3.700448817952718
1205,3.3
1206,3.2
1207,3.5
1208,3.2
1209,4.2
1210,3.8
1211,2.8
1212,3.3
1213,2.9
1214,3.9
1215,3.700448817952718
1216,3.9
1217,3.700448817952718
1218,4.0
1219,3.700448817952718
1220,4.0
1221,3.8
1222,3.5
1223,3.6
1224,3.3
1225,3.5
1226,3.9
1227,3.6
1228,3.0
1229,3.5
1230,3.6
1231,3.6
1232,3.6
1233,3.7
1234,3.700448817952718
1235,3.7
1236,3.8
1237,3.700448817952718
1238,3.7
1239,3.700448817952718
1240,3.700448817952718
1241,4.2
1242,3.700448817952718
1243,3.7
1244,3.3
1245,4.1
1246,3.7
1247,3.5
1248,3.1
1249,3.7
1250,3.1
1251,3.1
1252,3.0
1253,3.700448817952718
1254,3.7
1255,3.700448817952718
1256,3.0
1257,3.7
1258,3.0
1259,3.700448817952718
1260,2.6
1261,3.700448817952718
1262,3.5
1263,3.700448817952718
1264,4.2
1265,3.4
1266,3.700448817952718
1267,3.700448817952718
1268,3.1
1269,4.0
1270,3.7
1271,3.3
1272,4.3
1273,4.1
1274,4.0
1275,3.7
1276,3.3
1277,4.1
1278,4.0
1279,3.700448817952718
1280,3.9
1281,3.8
1282,3.3
1283,3.700448817952718
1284,3.7
1285,3.5
1286,3.6
1287,3.2
1288,3.7
1289,3.7
1290,3.1
1291,3.6
1292,4.1
1293,3.4
1294,3.5
1295,3.700448817952718
1296,3.700448817952718
1297,3.3
1298,3.700448817952718
1299,4.0
1300,3.5
1301,3.700448817952718
1302,3.6
1303,4.4
1304,2.7
1305,3.4
1306,3.2
1307,3.6
1308,3.2
1309,3.9
1310,3.6
1311,3.5
1312,3.5
1313,3.7
1314,4.2
1315,3.700448817952718
1316,3.6
1317,2.8
1318,4.0
1319,3.700448817952718
1320,3.9
1321,3.9
1322,3.3
1323,3.9
1324,3.5
1325,3.3
1326,3.700448817952718
1327,3.700448817952718
1328,3.1
1329,3.6
1330,3.700448817952718
1331,3.7
1332,3.3
1333,3.1
1334,3.1
1335,3.7
1336,2.7
1337,3.700448817952718
1338,3.1
1339,3.3
1340,3.9
1341,3.4
1342,3.700448817952718
1343,3.4
1344,3.700448817952718
1345,3.4
1346,3.3
1347,3.4
1348,3.8
1349,3.6
1350,3.6
1351,3.9
1352,3.5
1353,3.6
1354,3.4
1355,3.700448817952718
1356,3.4
1357,3.5
1358,3.700448817952718
1359,3.4
1360,4.0
1361,3.4
1362,3.8
1363,3.700448817952718
1364,3.6
1365,3.4
1366,3.2
1367,4.1
1368,3.700448817952718
1369,3.6
1370,3.5
1371,3.7
1372,3.8
1373,3.8
1374,3.1
1375,3.2
1376,3.2
1377,3.4
1378,3.4
1379,3.700448817952718
1380,3.700448817952718
1381,3.0
1382,2.9
1383,3.700448817952718
1384,3.7
1385,3.5
1386,3.3
1387,3.1
1388,3.3
1389,4.3
1390,3.7
1391,3.3
1392,4.1
1393,3.700448817952718
1394,3.700448817952718
1395,3.4
1396,3.8
1397,3.6
1398,3.9
1399,2.9
1400,3.700448817952718
1401,3.8
1402,3.4
1403,3.1
1404,4.1
1405,3.4
1406,4.2
1407,3.4
1408,3.700448817952718
1409,3.1
1410,2.9
1411,3.7
1412,3.7
1413,3.7
1414,4.0
1415,3.700448817952718
1416,3.6
1417,4.0
1418,3.6
1419,3.2
1420,3.9
1421,4.1
1422,3.700448817952718
1423,3.4
1424,3.8
1425,3.3
1426,3.0
1427,3.8
1428,2.9
1429,3.7
1430,3.8
1431,3.0
1432,3.0
1433,3.2
1434,3.700448817952718
1435,3.7
1436,3.8
1437,3.2
1438,4.3
1439,4.0
1440,3.9
1441,3.700448817952718
1442,3.5
1443,3.5
1444,3.4
1445,3.700448817952718
1446,3.700448817952718
1447,3.700448817952718
1448,3.700448817952718
1449,3.5
1450,4.0
1451,3.7
1452,3.7
1453,2.6
1454,3.6
1455,3.2
1456,3.6
1457,3.700448817952718
1458,3.4
1459,2.7
1460,3.7
1461,3.7
1462,3.3
1463,3.6
1464,2.9
1465,3.9
1466,3.3
1467,3.9
1468,2.6
1469,3.700448817952718
1470,3.8
1471,4.0
1472,3.6
1473,3.3
1474,3.8
1475,3.700448817952718
1476,3.6
1477,3.700448817952718
1478,3.4
1479,3.0
1480,3.700448817952718
1481,2.6
1482,3.2
1483,3.2
1484,3.700448817952718
1485,2.8
1486,3.3
1487,3.700448817952718
1488,3.8
1489,3.700448817952718
1490,3.700448817952718
1491,3.6
1492,3.6
1493,3.6
1494,3.3
1495,3.6
1496,4.1
1497,3.4
1498,4.0
1499,3.5
1500,3.1
1501,3.3
1502,3.700448817952718
1503,4.1
1504,4.1
1505,3.3
1506,3.700448817952718
1507,3.2
1508,3.4
1509,2.9
1510,3.4
1511,3.0
1512,3.4
1513,2.8
1514,3.6
1515,3.700448817952718
1516,4.0
1517,3.7
1518,3.4
1519,3.4
1520,3.3
1521,3.5
1522,3.1
1523,4.0
1524,3.7
1525,3.5
1526,2.4
1527,3.700448817952718
1528,3.0
1529,3.0
1530,3.700448817952718
1531,3.700448817952718
1532,3.8
1533,3.1
1534,3.4
1535,3.7
1536,3.3
1537,2.9
1538,3.3
1539,3.3
1540,2.8
1541,3.700448817952718
1542,3.4
1543,3.3
1544,2.9
1545,3.1
1546,3.6
1547,3.6
1548,3.700448817952718
1549,3.700448817952718
1550,3.2
1551,3.9
1552,2.9
1553,3.3
1554,2.9
1555,3.3
1556,3.6
1557,2.7
1558,3.700448817952718
1559,3.700448817952718
1560,3.700448817952718
1561,3.1
1562,3.700448817952718
1563,2.2
1564,3.5
1565,3.3
1566,2.4
1567,3.700448817952718
1568,3.700448817952718
1569,3.700448817952718
1570,3.700448817952718
1571,3.700448817952718
1572,3.5
1573,3.700448817952718
1574,3.700448817952718
1575,3.700448817952718
1576,3.700448817952718
1577,3.700448817952718
1578,3.700448817952718
1579,3.700448817952718
1580,3.2
1581,3.3
1582,2.9
1583,3.3
1584,3.700448817952718
1585,3.700448817952718
1586,3.700448817952718
1587,3.700448817952718
1588,3.3
1589,3.2
1590,3.700448817952718
1591,3.700448817952718
1592,3.700448817952718
1593,3.700448817952718
1594,3.700448817952718
1595,3.700448817952718
1596,3.700448817952718
1597,3.700448817952718
1598,3.700448817952718
1599,3.700448817952718
1600,3.700448817952718
1601,3.700448817952718
1602,3.700448817952718
1603,3.700448817952718
1604,3.700448817952718
1605,3.700448817952718
1606,3.700448817952718
1607,3.700448817952718
1608,3.700448817952718
1609,3.700448817952718
1610,3.700448817952718
1611,3.700448817952718
1612,3.700448817952718
1613,3.700448817952718
1614,3.700448817952718
1615,3.700448817952718
1616,3.700448817952718
1617,3.6
1618,3.5
1619,3.3
1620,3.700448817952718
1621,3.700448817952718
1622,3.700448817952718
1623,3.700448817952718
1624,3.7
1625,3.5
1626,3.7
1627,3.700448817952718
1628,3.700448817952718
1629,3.700448817952718
1630,3.0
1631,3.1
1632,3.700448817952718
1633,3.700448817952718
1634,4.0
1635,3.8
1636,3.7
1637,3.8
1638,3.2
1639,2.3
1640,3.700448817952718
1641,3.9
1642,2.6
1643,3.9
1644,3.7
1645,3.700448817952718
1646,4.0
1647,3.6
1648,3.700448817952718
1649,3.700448817952718
1650,3.4
1651,3.5
1652,3.700448817952718
1653,3.700448817952718
1654,3.700448817952718
1655,3.6
1656,3.0
1657,3.0
1658,3.7
1659,3.700448817952718
1660,3.700448817952718
1661,2.9
1662,3.7
1663,3.7
1664,4.4
1665,3.2
1666,3.700448817952718
1667,3.2
1668,3.4
1669,3.6
1670,3.700448817952718
1671,3.7
1672,3.1
1673,4.1
1674,2.9
1675,3.700448817952718
1676,4.3
1677,3.700448817952718
1678,3.4
1679,3.4
1680,3.700448817952718
1681,2.8
1682,3.700448817952718
1683,3.700448817952718
1684,3.700448817952718
1685,4.2
1686,3.7
1687,4.1
1688,3.700448817952718
1689,3.700448817952718
1690,3.9
1691,3.8
1692,3.7
1693,4.1
1694,3.700448817952718
1695,3.8
1696,3.9
1697,3.5
1698,2.9
1699,3.9
1700,3.700448817952718
1701,4.0
1702,3.700448817952718
1703,3.700448817952718
1704,3.7
1705,3.8
1706,3.5
1707,3.700448817952718
1708,3.4
1709,3.700448817952718
1710,3.8
1711,3.7
1712,3.9
1713,3.7
1714,3.2
1715,3.1
1716,3.2
1717,3.6
1718,3.8
1719,3.1
1720,3.9
1721,3.2
1722,2.9
1723,3.700448817952718
1724,3.700448817952718
1725,3.700448817952718
1726,3.5
1727,2.7
1728,2.6
1729,3.2
1730,3.0
1731,3.2
1732,3.700448817952718
1733,3.4
1734,3.6
1735,3.700448817952718
1736,3.700448817952718
1737,3.700448817952718
1738,3.700448817952718
1739,3.700448817952718
1740,3.700448817952718
1741,3.700448817952718
1742,3.700448817952718
1743,3.700448817952718
1744,3.7
1745,2.9
1746,3.700448817952718
1747,3.5
1748,3.6
1749,3.700448817952718
1750,3.700448817952718
1751,3.700448817952718
1752,3.700448817952718
1753,3.700448817952718
1754,3.700448817952718
1755,3.700448817952718
1756,3.700448817952718
1757,3.700448817952718
1758,3.700448817952718
1759,3.5
1760,3.1
1761,3.700448817952718
1762,3.700448817952718
1763,3.700448817952718
1764,3.700448817952718
1765,3.700448817952718
1766,3.700448817952718
1767,3.700448817952718
1768,3.0
1769,3.5
1770,3.700448817952718
1771,3.700448817952718
1772,3.700448817952718
1773,3.700448817952718
1774,3.700448817952718
1775,3.700448817952718
1776,3.700448817952718
1777,3.700448817952718
1778,3.700448817952718
1779,3.700448817952718
1780,3.700448817952718
1781,3.5
1782,3.7
1783,3.3
1784,3.4
1785,3.6
1786,3.700448817952718
1787,3.9
1788,3.9
1789,3.1
1790,3.7
1791,3.6
1792,3.1
1793,3.700448817952718
1794,3.700448817952718
1795,3.0
1796,3.4
1797,3.700448817952718
1798,3.4
1799,3.3
1800,3.700448817952718
1801,3.3
1802,3.3
1803,3.6
1804,3.8
1805,3.3
1806,3.6
1807,3.700448817952718
1808,3.700448817952718
1809,3.700448817952718
1810,3.700448817952718
1811,3.5
1812,3.3
1813,3.700448817952718
1814,3.1
1815,3.700448817952718
1816,3.700448817952718
1817,2.9
1818,3.700448817952718
1819,3.700448817952718
1820,4.3
1821,4.0
1822,4.1
1823,4.0
1824,3.9
1825,3.4
1826,3.9
1827,3.9
1828,3.8
1829,4.4
1830,3.9
1831,3.9
1832,4.0
1833,3.7
1834,3.8
1835,3.7
1836,3.6
1837,3.5
1838,3.8
1839,3.6
1840,3.7
1841,3.2
1842,3.700448817952718
1843,3.4
1844,3.700448817952718
1845,3.2
1846,3.3
1847,2.8
1848,2.9
1849,3.4
1850,4.1
1851,3.700448817952718
1852,3.4
1853,3.700448817952718
1854,3.700448817952718
1855,3.2
1856,3.1
1857,3.7
1858,3.6
1859,3.700448817952718
1860,3.6
1861,3.4
1862,3.700448817952718
1863,3.700448817952718
1864,3.700448817952718
1865,3.700448817952718
1866,3.4
1867,3.700448817952718
1868,3.5
1869,3.5
1870,3.7
1871,3.7
1872,3.700448817952718
1873,3.1
1874,3.4
1875,3.2
1876,3.700448817952718
1877,3.700448817952718
1878,3.700448817952718
1879,3.700448817952718
1880,3.700448817952718
1881,3.700448817952718
1882,3.700448817952718
1883,3.700448817952718
1884,3.700448817952718
1885,3.700448817952718
1886,3.7
1887,3.700448817952718
1888,3.0
1889,3.700448817952718
1890,3.5
1891,4.0
1892,4.1
1893,4.1
1894,3.9
1895,4.3
1896,3.700448817952718
1897,4.1
1898,3.9
1899,4.1
1900,3.6
1901,3.4
1902,3.7
1903,4.0
1904,3.700448817952718
1905,3.8
1906,3.2
1907,3.7
1908,3.7
1909,3.6
1910,2.9
1911,3.2
1912,3.3
1913,3.3
1914,3.2
1915,3.1
1916,3.700448817952718
